SCCL_UUID,CLQU_UUID,cluster_name,queue_name
2,1,ascend,batch
2,2,ascend,cpuonly
2,3,ascend,debug
2,4,ascend,gpu
2,5,ascend,gpu-dense
2,6,ascend,gpu-mixed
2,7,ascend,preemptible
2,8,ascend,systems
1,9,owens,batch
1,10,owens,condo-PYS1123
1,11,owens,condo-PYS1123-backfill-parallel
1,12,owens,condo-PYS1123-backfill-serial
1,13,owens,condo-PYS1124
1,14,owens,condo-PYS1124-backfill-parallel
1,15,owens,condo-PYS1124-backfill-serial
1,16,owens,debug
1,17,owens,gpubackfill-parallel
1,18,owens,gpubackfill-serial
1,19,owens,gpudebug
1,20,owens,gpuparallel
1,21,owens,gpuserial
1,22,owens,hugemem
1,23,owens,hugemem-parallel
1,24,owens,longserial
1,25,owens,parallel
1,26,owens,serial
1,27,owens,systems
3,28,pitzer,batch
3,29,pitzer,condo-PYS1122
3,30,pitzer,condo-PYS1122-backfill-parallel
3,31,pitzer,condo-PYS1122-backfill-serial
3,32,pitzer,condo-ccapp-backfill-parallel
3,33,pitzer,condo-ccapp-backfill-serial
3,34,pitzer,condo-ccapp-parallel
3,35,pitzer,condo-ccapp-serial
3,36,pitzer,condo-datta-backfill-parallel
3,37,pitzer,condo-datta-backfill-serial
3,38,pitzer,condo-datta-parallel
3,39,pitzer,condo-datta-serial
3,40,pitzer,condo-gao-gpu-backfill-parallel
3,41,pitzer,condo-gao-gpu-backfill-serial
3,42,pitzer,condo-gao-gpu-parallel
3,43,pitzer,condo-gao-gpu-serial
3,44,pitzer,condo-osumed-cpu-40core
3,45,pitzer,condo-osumed-cpu-40core-backfill-parallel
3,46,pitzer,condo-osumed-cpu-40core-backfill-serial
3,47,pitzer,condo-osumed-gpu-40core
3,48,pitzer,condo-osumed-gpu-40core-backfill-parallel
3,49,pitzer,condo-osumed-gpu-40core-backfill-serial
3,50,pitzer,condo-osumed-gpu-40core-cpuonly
3,51,pitzer,condo-osumed-gpu-48core
3,52,pitzer,condo-osumed-gpu-48core-backfill-parallel
3,53,pitzer,condo-osumed-gpu-48core-backfill-serial
3,54,pitzer,condo-osumed-gpu-48core-cpuonly
3,55,pitzer,condo-osumed-gpu-quad
3,56,pitzer,condo-osumed-gpu-quad-backfill-parallel
3,57,pitzer,condo-osumed-gpu-quad-backfill-serial
3,58,pitzer,condo-osumed-gpu-quad-cpuonly
3,59,pitzer,condo-tarnovsky-olivucci-backfill-parallel
3,60,pitzer,condo-tarnovsky-olivucci-backfill-serial
3,61,pitzer,condo-tarnovsky-olivucci-parallel
3,62,pitzer,condo-tarnovsky-olivucci-serial
3,63,pitzer,debug
3,64,pitzer,debug-40core
3,65,pitzer,debug-48core
3,66,pitzer,gpubackfill-parallel-40core
3,67,pitzer,gpubackfill-parallel-48core
3,68,pitzer,gpubackfill-parallel-quad
3,69,pitzer,gpubackfill-serial-40core
3,70,pitzer,gpubackfill-serial-48core
3,71,pitzer,gpubackfill-serial-quad
3,72,pitzer,gpudebug
3,73,pitzer,gpudebug-40core
3,74,pitzer,gpudebug-48core
3,75,pitzer,gpudebug-quad
3,76,pitzer,gpuparallel
3,77,pitzer,gpuparallel-40core
3,78,pitzer,gpuparallel-48core
3,79,pitzer,gpuparallel-quad
3,80,pitzer,gpuserial
3,81,pitzer,gpuserial-40core
3,82,pitzer,gpuserial-48core
3,83,pitzer,gpuserial-quad
3,84,pitzer,hugemem
3,85,pitzer,hugemem-parallel
3,86,pitzer,largemem
3,87,pitzer,largemem-parallel
3,88,pitzer,longserial
3,89,pitzer,parallel
3,90,pitzer,parallel-40core
3,91,pitzer,parallel-48core
3,92,pitzer,serial
3,93,pitzer,serial-40core
3,94,pitzer,serial-48core
3,95,pitzer,systems
4,96,frontera,flex
4,97,frontera,development
4,98,frontera,normal
4,99,frontera,large
4,100,frontera,debug
4,101,frontera,rtx
4,102,frontera,rtx-dev
4,103,frontera,nvdimm
4,104,frontera,small
4,105,frontera,grace
5,106,lonsestar6,gpu-a100
5,107,lonsestar6,large
5,108,lonsestar6,normal
5,109,lonsestar6,debug
5,110,lonsestar6,development
5,111,lonsestar6,vm-small
6,112,stampede2,development
6,113,stampede2,normal
6,114,stampede2,large
6,115,stampede2,long
6,116,stampede2,skx-dev
6,117,stampede2,skx-normal
6,118,stampede2,skx-large
6,119,stampede2,icx-normal
